name,fips,code,number,district,district_code,census_2010_white,census_2010_black,census_2010_latino,census_2010_api,census_2010_native,census_2010_other,acs_2015_pct_bachelor_ge25,acs_2015_pct_bachelor_white_ge25,acs_2015_median_hh_income,2016_pres_total,2016_pres_d,2016_pres_r,2016_pres_other,2012_pres_total,2012_pres_d,2012_pres_r,2012_pres_other,2008_pres_total,2008_pres_d,2008_pres_r,2008_pres_other,2016_house_total,2016_house_d,2016_house_r,2016_house_other,2014_house_total,2014_house_d,2014_house_r,2014_house_other,2012_house_d,2012_house_r,2012_house_other,2016_pvi,2012_pvi,2008_pvi,pop_total,pop_white,pop_black,pop_latino,pop_api,pop_native,pop_other,pop_total_ge18,pop_white_ge18,pop_black_ge18,pop_latino_ge18,pop_api_ge18,pop_native_ge18,pop_other_ge18
California,06,CA,43,California 43rd,CA-43,17.7,24.2,41.7,14.1,0.2,2.1,24,40.9,"$50,885","234,060","183,434","39,039",,"222,219","173,342","44,485",,"217,683","167,844","49,839",,"219,516","167,017","52,499",0,"98,202","69,681","28,521",0,"200,894",0,,31.3,27.6,23.4,"703,742","105,987","165,892","324,296","88,512","1,349","17,706","520,049","91,816","125,866","216,776","73,466","1,096","11,029"
California,06,CA,44,California 44th,CA-44,9,18,64.5,7.1,0.2,1.2,13.4,29.4,"$49,037","197,802","164,251","24,261",,"183,586","155,459","24,995",,"167,638","139,728","27,910",,"178,413","178,413",0,0,"68,862","59,670",0,"9,192","165,898",0,,36,34.2,29.7,"702,899","50,147","117,907","480,731","43,546","1,254","9,314","487,334","43,768","87,781","314,209","34,779","1,013","5,784"
California,06,CA,45,California 45th,CA-45,58.3,1.5,16.4,21,0.2,2.7,54.7,54,"$93,374","325,967","162,449","144,713",,"309,399","133,114","169,489",,"309,553","147,542","162,011",,"311,849","129,231","182,618",0,"162,902","56,819","106,083",0,"121,814","171,417",,1.8,-8,-6,"692,013","384,853","10,010","128,724","142,173","1,217","25,036","531,667","310,132","7,937","86,929","111,541",974,"14,154"
California,06,CA,46,California 46th,CA-46,22.5,1.9,60.8,13.3,0.2,1.2,16.8,29.2,"$57,583","180,750","119,762","50,403",,"155,493","95,479","56,252",,"152,425","91,557","60,868",,"164,593","164,593",0,0,"83,315","49,738","33,577",0,"95,694","54,121",,19.3,11,6.4,"708,237","131,037","12,165","470,745","83,387","1,368","9,535","504,841","113,813","9,687","306,928","67,218","1,067","6,128"
California,06,CA,47,California 47th,CA-47,38.5,7.3,29.6,22.1,0.3,2.2,30.2,40.8,"$59,744","258,320","161,743","80,162",,"245,624","147,456","92,010",,"244,896","145,697","99,199",,"242,868","154,759","88,109",0,"123,400","69,091","54,309",0,"130,093","99,919",,15.7,9.6,5.8,"701,770","239,094","51,309","239,436","149,779","1,928","20,224","533,085","205,319","38,828","157,822","117,608","1,602","11,906"
California,06,CA,48,California 48th,CA-48,61.5,1,17,18.1,0.2,2.1,44.3,51.2,"$83,001","317,328","152,035","146,595",,"309,496","133,103","169,249",,"311,625","148,080","163,545",,"306,416","127,715","178,701",0,"174,795","62,713","112,082",0,"113,358","177,144",,-0.2,-7.9,-6.2,"712,874","415,230","6,680","140,691","127,786","1,515","20,972","561,701","345,365","5,482","95,599","101,923","1,271","12,061"
California,06,CA,49,California 49th,CA-49,65.4,2.4,22.1,7.6,0.4,2.2,43.5,50.4,"$81,611","314,011","159,081","135,576",,"294,468","134,447","153,856",,"289,032","146,459","142,573",,"310,155","154,267","155,888",0,"163,142","64,981","98,161",0,"114,893","159,725",,2.9,-5.3,-3,"713,732","438,171","16,596","182,877","50,892","2,465","22,731","541,472","354,022","12,811","119,740","40,941","1,984","11,974"
California,06,CA,50,California 50th,CA-50,63.3,2.3,25.7,5.5,0.9,2.2,27.7,33.1,"$66,103","292,878","115,864","159,822",,"273,289","102,649","165,104",,"269,249","108,686","160,563",,"283,583","103,646","179,937",0,"157,299","45,302","111,997",0,"83,455","174,838",,-9.1,-13.6,-13.3,"700,614","410,047","16,301","210,423","36,142","6,908","20,793","520,756","329,692","12,043","134,076","28,646","4,941","11,358"
California,06,CA,51,California 51st,CA-51,17.6,7.4,63.9,9.1,0.5,1.5,13.6,23.3,"$41,085","205,437","147,603","46,825",,"166,684","115,610","48,108",,"164,492","110,561","53,931",,"199,524","145,162","54,362",0,"81,950","56,373","25,577",0,"113,934","45,464",,24.8,18.7,13.5,"702,436","101,085","47,932","480,634","57,218","3,132","12,435","503,460","88,607","37,415","321,527","45,770","2,367","7,774"
California,06,CA,52,California 52nd,CA-52,64.7,2.9,11.6,17.8,0.3,2.8,57.5,60.5,"$84,479","329,258","191,325","117,057",,"314,748","163,911","143,726",,"326,265","183,133","143,132",,"320,656","181,253","139,403",0,"191,572","98,826","92,746",0,"151,451","144,459",,10.9,1.3,2.4,"697,659","433,164","20,283","90,611","124,125","1,958","27,518","560,637","362,782","16,208","64,846","99,553","1,592","15,656"
California,06,CA,53,California 53rd,CA-53,48.1,7.5,27.6,13.5,0.4,2.9,36.7,45.4,"$66,917","310,373","200,237","91,822",,"284,333","174,616","103,513",,"288,645","180,281","108,364",,"296,956","198,988","97,968",0,"148,044","87,104","60,940",0,"164,825","103,482",,17.4,10.8,8.8,"699,221","302,484","54,751","221,120","91,477","2,356","27,033","546,096","262,923","40,868","150,625","73,753","1,959","15,968"
Colorado,08,CO,1,Colorado 1st,CO-01,62.2,8,24.2,3.3,0.6,1.8,46.7,61.2,"$60,576","402,463","277,790","93,486",,"368,798","254,400","106,334",,"336,293","238,267","92,818",,"379,036","257,254","105,030","16,752","278,491","183,281","80,682","14,528","237,579","93,217",,23.7,18.6,18.3,"717,603","406,873","60,035","207,066","23,415","4,076","16,138","561,585","349,330","44,977","135,637","18,571","3,241","9,829"
